4.14.2,"Wooden for in work For Super structure column , Floor beans & slab",m²,"1,1.77.21"
4.14.3,I 8mm thick Fair Faced Form work (high quality playwood) wiih crane,m²,"1,731.63"
4.14.4,Wooden scafolding,,117
4.15,STEEL REINFORCEMENT,,
,SUB STRUCTURE,,
4.15.1,Local Re-Bar Grade 75: Dra. 6mm (Sub structure),kg,259.15
4.15.2,Local Re-Bar Grade 75: Dia. 8mm (Sub structure),kg,254.24
4.15.3,local Re-Bar Grade 75: Dia. 10mm (Sub structutc),kg,254.24
4.15.4,"Local Re-Bar Grade 75: Dia, 12mm (Sub structure)",kg,250.96
4.15.5,Local Re-Bar Grade 75: Dia. 14 mm (Sub structure),kg,250.96
4.15.6,Local Re-Bar Grade 75: Dia. 16mm (Sub structure),kg,250.96
4.15.7,Local Re-Bar Grade 75: Dia. 20mm (Sub structure),kg,250.96
4.15.8,Local Re-Bar Grade 75: Dia. 24mm (Sub structure),kg,250.96
4.15.9,Local Re-Bar Grade 75: Dia. 32 mm (Sub structure),kg,250.96
,SUPER STRUCTURE,,
4.15.10,Local Re-Bar Grade 75: Dia. 6mm (Super structure),kg,261.26
4.15.11,Local Re-Bar Grade 75: Dia. 8mm (Super structure),kg,261.26
4.15.12,Local Re-Bar Grade 75: Dia. 10mm (Super structure),kg,261.26
4.15.13,Local Re-Bar Grade 75: Dia. 12mm (Super structure),kg,253.93
4.15.14,Local Re-Bar Grade 75: Dia. l4mm (Super structure),kg,253.93
4.15.15,Local Re-Bar Grade 75: Dia. 16mm (Super structure),kg,253.93
4.15.16,Local Re-Bar Grade 75: Dia. 20mm (Super structure),kg,253.93
4.15.17,Local Re-Bar Grade 75: Dia. 24mm (Super structure),kg,253.93
4.15.18,Local Re-Bar Grade 75: Dia. 32mm (Super structure),kg,253.93
